Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
UX Research Methods: Card Sorting,"Get an in-depth introduction to card sorting, a UX research technique that helps you understand how users categorize information. By using card sort results to inform your designs, you can create websites or products that are intuitive and easy to navigate. In this course, Amanda Stockwell helps you grasp the fundamentals of planning, executing, and analyzing a card sort. After providing an overview of this UX research technique and going into the different types of card sorting, Amanda shows how to prepare your content to ensure that you get the best card sort results. She also covers finding, selecting, and screening participants, running sessions, analyzing data, and sharing your results.",Course,2018-08-09 09:37 UTC,N/A,false,N/A,
Social Network Analysis Using R,"<em>Social Network Analysis Using R</em> teaches analysts how to visualize and analyze data from a social network like Twitter or Facebook with the text-based statistical language, R. If you're involved in analytics in any capacity, this course will be a huge help, teaching you how the R sna and igraph modules works and how to format data for analysis, create graphs, analyze network graphs, and visualize networks. Join instructor Curt Frye and learn how to examine the relationships and trends among networks in new and exciting ways, and discover information about how individuals in an organization interact.",Course,2019-02-16 11:08 UTC,N/A,false,N/A,
Artificial Intelligence Foundations: Thinking Machines,"Computer-enhanced artificial intelligence (AI) has been around since the 1950s, but recent hardware innovations have reinvigorated the field. New sensors help machines have more accurate sight, hear sounds, and understand location. Powerful processors can help computers make complex decisions, sort through possibilities, plan outcomes, and learn from mistakes. The possibilities are thrilling; the implications are vast.<br><br>

This course will introduce you to some of the key concepts behind artificial intelligence, including the differences between ""strong"" and ""weak"" AI. You'll see how AI has created questions around what it means to be intelligent and how much trust we should put in machines. Instructor Doug Rose explains the different approaches to AI, including machine learning and deep learning, and the practical uses for new AI-enhanced technologies. Plus, learn how to integrate AI with other technology, such as big data, and avoid some common pitfalls associated with programming AI.",Course,2018-12-06 13:32 UTC,N/A,false,N/A,
AI The LinkedIn Way: A Conversation with Deepak Agarwal,"Deepak Agarwal is the VP of artificial intelligence (AI) at LinkedIn, a company on the frontline of data science. LinkedIn is heavily invested in AI and machine learning, transformative technologies that can improve all aspects of member experience. This investment is demonstrated in the LinkedIn AI Academy, which trains engineers and other employees on the power, potential, and best practices for developing and using AI tools. In this Q&A style course, Deepak discusses how LinkedIn leverages AI and machine learning, the ways the technology influences our lives, and what's to come, including advice for those wondering ""Will AI take our jobs?"" and ""What skills can I learn in order to start a career in AI?""",Course,2018-11-20 12:21 UTC,N/A,false,N/A,
C++ Game Programming 2,"Get a fun introduction to the world of game programming with C++. This course, part two in a series, teaches the next-level basics of game development with C++ and the Simple and Fast Multimedia Library (SFML). Follow along and learn how to build a fully playable sample game: an addictive split-screen puzzle based on the hit indie game <i>Thomas Was Alone</i>. Instructor John Horton stretches your C++ knowledge with topics such as split-screen functionality, immersive directional sound (spatialization), custom levels, collision detection, particle-driven effects, and realistic texturing with OpenGL programmable shaders. Learn how to build abstract playable character classes, code polymorphic functions for collision detection, and create sound manager and HUD classes. While building the game, you also learn how to make better use of advanced object-oriented programming concepts such as inheritance and polymorphism. All the software used in the course, including Visual Studio, is free, but you can follow along with the development tools of your choice.<br><br>

This course was created and produced by Packt Publishing. We are honored to host this training in our library.",Course,2018-09-16 15:39 UTC,N/A,false,N/A,
Excel: Advanced Formulas and Functions,"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2019-05-28 14:06 UTC,N/A,false,N/A,
Autodesk Inventor Routed Systems: Pipes,"Designing routed elements—including piping—has never been easier than with Autodesk Inventor. Inventor's rules-based routing tools select the appropriate fittings, and allow you to easily change to a different style. Inventor will repopulate the pipe run with the new fittings while adhering to any new design rules. Join Thom Tremblay as he shows how to use automated and manual routes to create piping systems through your assemblies. Learn how to edit members of a run; change pipe styles based on material, diameter, length, radius, and more; duplicate routes; and document your designs in detailed 2D drawings.",Course,2018-10-12 07:43 UTC,N/A,false,N/A,
Ethics and Law in Data Analytics,"With big data analytics and artificial intelligence (AI), corporations, governments, and individuals have access to powerful tools that can have real-world outcomes. Data professionals today need both the frameworks and the methods in their job to achieve optimal results while being good stewards of their critical role in society today. This course—part of the Microsoft Professional Program offerings—explores the ethical and legal frameworks applicable to the data profession. Learn how these frameworks apply to practical problems posed by work in big data and data science, and investigate applied data methods for ethical and legal work in analytics and AI.",Course,2019-05-10 13:41 UTC,N/A,false,N/A,
Negotiating Your Salary,"In this course, instructor Valerie Sutton shares smart strategies that can help you prepare for a salary negotiation, discuss your strengths, and follow up to achieve agreement. Discover how to research the salary range for the position you're applying for, determine your personal salary range, and make a persuasive request. Plus, learn what to consider in salary negotiations if you're working outside of your home country, how equity works in offers, and how to leave a position in good standing. Whether you're at your current job or making a leap to the next, this course can help you compare your expectations and performance with others and negotiate a salary that works for both you and your employer.",Course,2019-04-07 16:39 UTC,N/A,false,N/A,
RPA: Automation Anywhere IQ Bot,"Robotic process automation (RPA) is revolutionizing business processes everywhere. So how can you make RPA even better? By adding artificial intelligence (AI) that allows the software to make decisions on its own. Automation Anywhere IQ Bot is cognitive automation software that bridges the gap between traditional RPA and AI. Learn how to implement and succeed with cognitive automation in your organization using IQ Bot. Review the features and benefits of IQ Bot and then see IQ Bot in action, as you review the two case studies included with the course.",Course,2020-02-02 09:34 UTC,N/A,false,N/A,
Managing Depression in the Workplace,"Depression has the curious ability to drain the color out of life, turning even the most mundane tasks into challenges. When even getting out of bed is difficult, how are you supposed to manage when you arrive at the office? While no amount of grit can make this condition disappear, there are simple strategies that you can employ to make it through the bad days—and even improve your well-being and productivity in the process. In this course, join Dr. Srini Pillay, a certified master executive coach and part-time assistant professor of psychiatry at Harvard Medical School, as he shares practical techniques that can help individuals dealing with depression approach their work more effectively and reach out for the support they need. Learn how to better manage your mood and fatigue, broach the subject of depression with coworkers, manage and lead others when you're depressed, and more.</br></br>

Note: This course is intended to provide a general overview of mental health issues in the workplace, as well as general wellness tips that may be helpful to employees. This course should not be viewed as providing any diagnosis, or treatment advice for depression or any other medical condition. Any individual with depression or questions about their medical condition should consult their personal healthcare professional.",Course,2019-02-14 17:10 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2018-09-16 15:40 UTC,N/A,false,N/A,
Statistics Foundations: 1,"Statistics is not just the realm of data scientists. All types of jobs use statistics. Statistics are important for making decisions, new discoveries, investments, and predictions.  Whether the subject is political races, sports rankings, shopping trends, or healthcare advancements, statistics is an instrument for understanding your favorite topic at a deeper level. With these beginner-level lessons, you too can master the terms, formulas, and techniques needed to perform the most common types of statistics.<br><br>

Professor Eddie Davila covers statistics basics, like calculating averages, medians, modes, and standard deviations. He shows how to use probability and distribution curves to inform decisions, and how to detect false positives and misleading data. Each concept is covered in simple language, with detailed examples that show how statistics are used in real-world scenarios from the worlds of business, sports, education, entertainment, and more. These techniques will help you understand your data, prove theories, and save time, money, and other valuable resources—all by understanding the numbers.",Course,2018-12-02 17:53 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2018-12-03 14:19 UTC,N/A,false,N/A,
Learning Python GUI Programming,"Learn how to create effective graphical user interfaces (GUIs) with minimal code using Python. Burkhard Meier starts by showing how to create a GUI form, add widgets, manage the resulting layout, and customize the look and feel of the interface. Then, he takes you through working with data, classes, and making charts using the 2D Python plotting library, Matplotbil. Next, he discusses how threading and networking impact the performance of your code. Later in the course, he advances on to working with databases, testing application GUIs, extending a GUI using the wxPython library, and creating 3D GUIs by using PyOpenGL and Pyglet. As you follow along with Burkhard throughout this course, you will develop an entire application's GUI.<br><br>Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2018-09-19 16:57 UTC,N/A,false,N/A,
"Designing Big Data Healthcare Studies, Part One","Even if you have a strong grasp of statistics and informatics, you also need to understand epidemiology and basic study design to perform accurate, rigorous analysis of healthcare data. This course will help you design research studies around hypotheses, and fill the knowledge gap that many of today's analysts face when entering the healthcare field. Instructor Monika Wahi defines basic terms and concepts in epidemiology, and reviews the different study design approaches: descriptive, analytic, cross-sectional, and case control. She dives into detail on cross-sectional and case-control studies, and shows how to plan an analytic data set: figuring out the necessary native variables and operationalizing them in a data dictionary. Last, she reviews the lessons learned from the course and prepares you for part two of the training series, which tackles the descriptive and regression analysis for the data set you have designed.",Course,2019-07-14 14:43 UTC,N/A,false,N/A,
R Programming in Data Science: High Volume Data,"Data fills all available space, and now that storage is cheap, the amount of data has exploded. However, all that information is useless without analysis and context. The R programming language is designed to make it easier to analyze and visualize massive amounts of data. For example, R provides the ability to multiply one block of variables by another—an assumption that provides inherent advantages over other languages. This course shows why R is ideal for high volumes of data, introduces more efficient ways to use the language, and explains how to avoid the problems and capitalize on the opportunities of big data. Learn how to determine if you have enough memory and processing power, produce visualizations of big data, optimize your R code, and use advanced techniques such as parallel processing to speed up your computations. Plus, discover how to integrate R with big-data solutions such as SQL databases and Apache Spark.",Course,2019-05-10 16:45 UTC,N/A,false,N/A,
Deep Learning: Face Recognition,"Face recognition is used for everything from automatically tagging pictures to unlocking cell phones. And with recent advancements in deep learning, the accuracy of face recognition has improved. In this course, learn how to develop a face recognition system that can detect faces in images, identify the faces, and even modify faces with ""digital makeup"" like you've experienced in popular mobile apps. Find out how to set up a development environment. Discover tools you can leverage for face recognition. See how a machine learning model can be trained to analyze images and identify facial landmarks. Learn the steps involved in coding facial feature detection, representing a face as a set of measurements, and encoding faces. Additionally, learn how to repurpose and adjust pre-existing systems.",Course,2019-02-18 06:50 UTC,N/A,false,N/A,
Excel in the Real World,"Excel is more than just a number cruncher. It's a Swiss Army knife that helps you work with data from anywhere—numbers, dates, times, text, and more. In this short course, Microsoft MVP Oz du Soleil shows how Excel can help solve real-world problems featuring any kind of information. Learn how Excel can be used in interesting, out-of-the-box ways: to manage property, calculate prices for a new product, simplify music arrangements, keep your kids on top of their chores, or even build seating charts for an event. There's nothing Excel can't do. So make it do more for you.",Course,2019-04-10 01:58 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself,"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2019-04-07 10:50 UTC,N/A,false,N/A,
Leadership in Tech,"Erica Lockheimer successfully rose through the ranks at LinkedIn to become a VP of engineering. In this course, she interviews other leaders—all of whom inspired her own professional journey—about what it takes to carve out a lasting career in the lively, challenging world of tech. Erica chats with a variety of leaders in the tech space, including LinkedIn CEO Jeff Weiner and Tanya Staples, the VP of product, learning content at LinkedIn, about key aspects of their jobs. Along the way, she gleans insights on everything from cultivating awareness as a leader to maintaining a stable work and life balance.<br></br>Whether you're already a seasoned leader or you're just starting out, this course can equip you with the knowledge you need to lead with compassion and take your career to new heights.",Course,2019-09-15 02:17 UTC,N/A,false,N/A,
Analyzing Big Data with Hive,"Businesses thrive by making informed decisions that target the needs of their customers and users. To make such strategic decisions, they rely on data. Hive is a tool of choice for many data scientists because it allows them to work with SQL, a familiar syntax, to derive insights from Hadoop, reflecting the information that businesses seek to plan effectively.<br><br>
This course shows how to use Hive to process data. Instructor Ben Sullins starts by showing you how to structure and optimize your data. Next, he explains how to get Hue, the Hadoop user interface, to leverage HiveQL when analyzing data. Using the newly configured option, he then demonstrates how to load data, create aggregate tables for fast query access, and run advanced analytics. He also takes you through managing tables and putting functions to use. This course is designed to help you find new ways to work with datasets so you can answer the tough data science questions that come your way.",Course,2018-09-16 11:32 UTC,N/A,false,N/A,
Neural Networks and Convolutional Neural Networks Essential Training,"Take a deep dive into neural networks and convolutional neural networks, two key concepts in the area of machine learning. In this hands-on course, instructor Jonathan Fernandes covers fundamental neural and convolutional neural network concepts. Jonathan begins by providing an introduction to the components of neural networks, discussing activation functions and backpropagation. He then looks at convolutional neural networks, explaining why they're particularly good at image recognition tasks. He also steps through how to build a neural network model using Keras. Plus, learn about VGG16, the history of the ImageNet challenge, and more.",Course,2018-12-05 05:11 UTC,N/A,false,N/A,
Data Science Foundations: Data Engineering,"Approach big data with confidence by mastering the core skills needed to put data to work for your business. This course covers the basics of data engineering, system design, analytics, and business intelligence. Data science expert Ben Sullins explains how to collect and organize your data so you can deliver results that your organization can leverage. Ben starts by examining the modern data ecosystem and how it relates to running a smart and efficient data hub. Then, he shows you how to perform the principle tasks involved in managing, loading, extracting, and transforming data. He also takes you through staging, profiling, cleansing, and migrating data. Along the way, he provides actionable recommendations that applicable to data experts throughout an organization—analysts, engineers, scientists, modelers, and more.",Course,2019-05-10 16:46 UTC,N/A,false,N/A,
Excel: You Can Do This,"Excel scares a lot of people. Terms like PivotTables, VLOOKUP, and circular references make their heads spin. But once you have a basic grounding in Excel, you can do all these things and more. Follow along with Excel MVP Oz du Soleil in this fast-paced course, as he walks you through features, functions, and commands such as Freeze Panes, Flash Fill, COUNTIFS, and even VLOOKUP. Oz takes the bite out of the most intimidating features in Excel, so you can get more mileage every time you use it.",Course,2019-05-27 08:19 UTC,N/A,false,N/A,
Data Visualization for Data Analysts,"As a data analyst, you probably already know how to build visualizations and use tools like Excel and Illustrator. This course challenges you to go beyond the data, beyond the software, and start thinking more clearly and strategically about the foundations of great communication design. Bill Shander, founder of Beehive Media, focuses on the key challenges analysts face trying to communicate complex information, and how visual communication can help. He breaks down ten key components of great data visualizations—built in any program—and shows innovative ways of rethinking the slides, charts, diagrams, and templates you work with every day.",Course,2019-04-26 00:58 UTC,N/A,false,N/A,
Learning AngularJS 1,"Google designed the AngularJS framework to help developers build web applications with advanced features like declarative templates, data binding, deep linking, and dependency injection. While Angular 2 is now available, many existing applications are built on the first, more mature iteration of the framework. Learning AngularJS is still important for anyone who wants to work in front-end web development.<br><br>

In this short, practical course, Ray Villalobos uses AngularJS to build a searchable directory—a project you can use as the basis for your own employee or user directory. He explains the MVC architecture underlying AngularJS, and the differences you can expect to encounter in Angular 2. Then he shows how to control the display of DOM elements and data; use services like $http and $routeProvider; modify content with filters; add two-way data binding; and work with routes and templates. Start watching, and learn the simple way to build your own complex web application with AngularJS.",Course,2019-05-28 13:14 UTC,N/A,false,N/A,
Data Science & Analytics Career Paths & Certifications: First Steps,"The career opportunities in data science, big data, and data analytics are growing dramatically. If you're interested in changing career paths, determining the right course of study, or deciding if certification is worth your time, this course is for you.<br><br>

Jungwoo Ryoo is a professor of information science and technology at Penn State. Here he reviews the history of data science and its subfields, explores the marketplaces for these fields, and reveals the five main skills areas: data mining, machine learning, natural language processing (NLP), statistics, and visualization. This leads to a discussion of the five biggest career opportunities, the six leading industry-recognized certifications available, and the most exciting emerging technologies. Along the way, Jungwoo discusses the importance of ethics and professional development, and provides pointers to online resources for learning more.",Course,2019-02-18 06:14 UTC,N/A,false,N/A,
Body Language for Women,"As a professional woman, how do you communicate using body language? In this course, learn how to be aware of your body language, and how you can use your body language to convey power, authority, and interest in what others have to say. Instructor Dorie Clark discusses how body language is different for men and women, and how to choose appropriate clothing that matches the situation and your brand. She dives into the components of body language, explaining what to do with your feet, hands, face, and voice when interacting with others at work. Plus, she shares strategies for using body language to signal that you're really present in a situation.",Course,2019-06-14 15:15 UTC,N/A,false,N/A,
Business Analyst and Project Manager Collaboration,"In a business environment where complexity and change are the norm, business analysts and project managers can collaborate together to get more successful results and better business outcomes. If you're a PM or BA, this course will help you understand what great collaboration looks like. Explore exactly what each role entails, and what the ideal partnership can achieve. Discover how BAs and PMs can collaborate at each stage of a project, from scope management and project planning to implementation. Then find out where the roles and responsibilities overlap, and learn how to coordinate on these tasks to enhance communication, reduce risk, engage stakeholders, and more effectively respond to change requests.",Course,2018-09-16 15:32 UTC,N/A,false,N/A,
Raspberry Pi: Home Monitoring and Control,"Help your home keep up with you—and stay connected to what's going on when you're away—with a custom home monitoring system built with a Raspberry Pi. With some inexpensive hardware and simple web services, you can monitor your house remotely via photo or video surveillance, detect motion, turn lights on and off, and send messages to your phone when different alarms are triggered.<br><br>

This DIY electronics project provides simple directions for getting your home monitoring system up and running. Author David Ross helps you select a power supply, camera, motion detector, enclosure, and other components and accessories, and make your system ""smart"" by connecting to web services frameworks such as Weaved and WebIOPi. Then he helps you program the logic to make your Pi camera take pictures and stream video, connect to home peripherals, and mount your alarm system. With this training, and a little elbow grease, you can create a fully autonomous system that helps you and your family feel more secure at home and away.<br><br>

Note: These instructions work with Raspberry Pi B, Raspberry Pi B+, and Raspberry Pi 2 models.",Course,2019-03-04 10:13 UTC,N/A,false,N/A,
Managing Your Manager,"In this course, author, keynote speaker, and coach Dr. Todd Dewett shows how to manage your reputation and one of your most important work relationships: your rapport with your boss. Discover how to understand your manager's world, preferences, and lingo; support your boss's goals; be a help rather than a hindrance; and lead by offering solutions. Plus, learn how to manage particularly difficult types of bosses, such as the boss who's never available, the mean boss, or the boss who acts better than everyone else.",Course,2018-11-06 11:43 UTC,N/A,false,N/A,
Cognitive Technologies: The Real Opportunities for Business,"Cognitive technologies such as artificial intelligence and robotics are changing how businesses operate and the nature of work as we know it. This course, from Deloitte University Press, is designed to explain the benefits and value of cognitive technologies to business leaders, decision makers, and others who want to understand their impact on business. David Schatsky focuses on the ""what"" and ""why,"" leaving you to craft a ""how"" that meets your organization's needs. He covers machine learning, artificial intelligence fields such as natural language processing and computer vision, and robotics. In later chapters, David examines the business case for the technologies, looking at practical applications for products and processes. Finally he reviews the impact on workers and the design of work, and takes a look forward into the future of cognitive tech. Short quizzes and assessments help you practice your knowledge. By the end of the course, you should be able to engage in productive discussions with colleagues, customers, and suppliers and help shape the cognitive technology strategy at your organization.",Course,2019-03-01 23:58 UTC,N/A,false,N/A,
AI Accountability Essential Training,"Artificial intelligence (AI) offers businesses the potential for a dramatic increase in functionality and profitability, but it can also spark an array of complex ethical, legal, and social challenges. In this nontechnical, conceptually oriented course, Barton Poulson digs into the hazards of AI, offering potential solutions to key concerns. Barton explores the ethical issues posed by AI, including competing concepts of fairness and moral reasoning. He also goes over social concerns and safety challenges for AI, such as potential life-and-death scenarios in autonomous driving. Barton concludes with recommendations tailored to developers, executives, PR professionals, regulators, and consumers to help them reap the potential of AI in a manner that's worthy of trust and profitable to all.",Course,2019-02-28 08:25 UTC,N/A,false,N/A,
Developing a Learning Mindset,"A learning mindset means that you see challenges as opportunities and that you are motivated to learn something new every day. eParachute founder Gary Bolles shows you how to develop a learning mindset so that learning becomes a habit and not a chore. Find your motivation to learn, explore how the brain acquires and retains information, and discover how to conduct a self-inventory that reveals what you've learned and how you learn best. Gary also introduces strategies to make learning a fun and rewarding practice that stays with you for life.",Course,2019-08-26 14:16 UTC,N/A,false,N/A,
Power BI Essential Training,"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile—explaining how to use it to view and share your data—and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2018-12-19 14:42 UTC,N/A,false,N/A,
NLP with Python for Machine Learning Essential Training,"With the increased amount of data publicly available and the increased focus on unstructured text data, understanding how to clean, process, and analyze that text data is tremendously valuable. If you have some experience with Python and an interest in natural language processing (NLP), this course can provide you with the knowledge you need to tackle complex problems using machine learning. Instructor Derek Jedamski provides a quick summary of basic natural language processing (NLP) concepts, covers advanced data cleaning and vectorization techniques, and then takes a deep dive into building machine learning classifiers. During this last step, Derek shows how to build two different types of machine learning models, as well as how to evaluate and test variations of those models.",Course,2018-08-10 08:25 UTC,N/A,false,N/A,
Machine Learning and AI Foundations: Clustering and Association,"Unsupervised learning is a type of machine learning where algorithms parse unlabeled data. The focus is not on sorting data into known categories but uncovering hidden patterns. Unsupervised learning plays a big role in modern marketing segmentation, fraud detection, and market basket analysis. This course shows how to use leading machine-learning techniques—cluster analysis, anomaly detection, and association rules—to get accurate, meaningful results from big data.<br><br>

Instructor Keith McCormick reviews the most common clustering algorithms: hierarchical, k-means, BIRCH, and self-organizing maps (SOM). He uses the same algorithms for anomaly detection, with additional specialized functions available in IBM SPSS Modeler. He closes the course with a review of association rules and sequence detection, and also provides some resources for learning more.<br><br>

All exercises are demonstrated in IBM SPSS Modeler and IBM SPSS Statistics, but the emphasis is on concepts, not the mechanics of the software.",Course,2018-10-04 14:07 UTC,N/A,false,N/A,
Kafka Essential Training,"Developed at LinkedIn, Apache Kafka is a distributed streaming platform that provides scalable, high-throughput messaging systems in place of traditional messaging systems like JMS. In this course, examine all the core concepts of Kafka. Ben Sullins kicks off the course by making the case for Kafka, and explaining who's using this efficient platform and why. He then shares Kafka workflows to provide context for core concepts, explains how to install and test Kafka locally, and dives into real-world examples. By the end of this course, you'll be prepared to achieve scalability, fault tolerance, and durability with Apache Kafka.",Course,2019-06-26 14:51 UTC,N/A,false,N/A,
